FOOD SAFETY DIARY,Food & Drink,Food Safety Diary,,5.0,1,3.9,5,3.99
Raw Fed Dog Food Calculator,Food & Drink,GorVas Team,,3.8,6,1.4,500,4.99
Italian Food Decoder,Food & Drink,Touch Screen Travels,,4.5,12,100,100,4.99
Cookie + Kate - Celebrating Whole Foods!,Food & Drink,SideChef,,4.9,67,35,500,4.99
Lazy Food Diary,Food & Drink,Valley Software Tas,,,,14,5,0.99
Somali Food,Food & Drink,Mukhtar Shariff,,,,23,5,0.99
Maunika Gowardhan's Indian Recipes,Food & Drink,Verb Brands Limited,,3.5,10,10,500,4.49
47 States Signature Food,Food & Drink,Fountainhead Publications,,,,33,1,0.99
Deliciously Ella,Food & Drink,Deliciously Ella Ltd,Offers in-app purchases,4.6,"1,101",96,"10,000",3.49
Yummy Baby Food Recipes,Food & Drink,TraderAPPS,Contains Ads,,,15,0,0.99
Feed An Army Food Planner,Food & Drink,"JUSTreTHINK, LLC",,,,2.9,5,0.99
Food Book Recipes : Premium,Food & Drink,Fitness Circle,,4.5,13,5.6,100,5.99
FoodMoji,Food & Drink,Modcon ME,,5.0,7,3.9,50,0.99
Fast food Recipes,Food & Drink,Inventive infotech,Contains Ads,,,1.5,0,0.99
Feasible Food,Food & Drink,Ed Curtis-Sivess,,,,68,10,4.99
Super Food CookBook,Food & Drink,GoGo Tech,,,,5.5,10,0.99
Cherry food,Food & Drink,AT&NB,Contains Ads,,,18,0,9.99
Unhungry - Food Combinations For You,Food & Drink,Ashish Gaikwad,,5.0,1,7.7,1,0.99
Annabel Karmel,Food & Drink,Cooking For Children Ltd.,,3.3,20,30,"1,000",4.49
Cooking Calculator,Food & Drink,Dean Avanti,,3.5,19,1.5,"1,000",3.49
Healthy Indian Foods,Food & Drink,Prakash Patil,,,,11,0,43.99
100 Greek Recipes,Food & Drink,Fountainhead Publications,,5.0,1,16,10,0.99
My CookBook Pro (Ad Free),Food & Drink,Maadinfo Services,,4.6,"2,126",,"10,000",3.49
Recipe Book - 30K+ Top Recipes,Food & Drink,Quotes,,,,30,0,4.49
