DoorDash - Food Delivery,Food & Drink,DoorDash,,4.5,"103,086",,"1,000,000",
Grubhub: Food Delivery,Food & Drink,GrubHub,,4.5,"155,659",35,"5,000,000",
Wendy’s – Food and Offers,Food & Drink,"Wendy's Int'l., LLC",,3.4,"6,498",18,"1,000,000",
Zomato - Restaurant Finder and Food Delivery App,Food & Drink,Zomato,,4.3,"506,537",,"10,000,000",
Eat24 Food Delivery & Takeout,Food & Drink,GrubHub,,4.3,"40,085",,"1,000,000",
McDonald's,Food & Drink,"McDonalds USA, LLC",,3.6,"144,759",42,"10,000,000",
Uber Eats: Local Food Delivery,Food & Drink,"Uber Technologies, Inc.",,4.2,"329,035",34,"10,000,000",
Yummly Recipes & Shopping List,Food & Drink,Yummly,Contains Ads,4.5,"91,292",27,"1,000,000",
Chipotle,Food & Drink,Chipotle Mexican Grill,,4.2,"16,877",46,"1,000,000",
BeyondMenu Food Delivery,Food & Drink,BeyondMenu,,4.7,"51,395",,"1,000,000",
Pizza Hut,Food & Drink,Pizza Hut Inc.,,4.3,"320,831",30,"10,000,000",
SONIC Drive-In,Food & Drink,"Sonic Industries Services, Inc.",,4.3,"19,250",43,"1,000,000",
"Calorie, Carb & Fat Counter",Food & Drink,Virtuagym,Contains Ads·Offers in-app purchases,4.5,"29,195",11,"1,000,000",
Domino's Pizza USA,Food & Drink,Domino's Pizza LLC,,4.7,"1,031,406",,"10,000,000",
Chick-fil-A,Food & Drink,"Chick-fil-A, Inc.",,4.4,"27,744",17,"5,000,000",
SUBWAY®,Food & Drink,SUBWAY Restaurants,,3.8,"21,215",41,"1,000,000",
Seamless Food Delivery/Takeout,Food & Drink,Seamless,,4.5,"35,182",34,"1,000,000",
Allrecipes Dinner Spinner,Food & Drink,"Allrecipes.com, Inc.",Contains Ads,4.5,"61,843",,"5,000,000",
Fast Food Specials & Coupons,Food & Drink,Best Deals App - BuyVia,Contains Ads,4.5,"1,101",8.3,"100,000",
Papa John's Pizza,Food & Drink,Papa John's Pizza,,4.4,"69,808",10,"5,000,000",
foodpanda - Local Food Delivery,Food & Drink,Foodpanda GmbH,,4.0,"292,392",16,"10,000,000",
All Recipes Free - Food Recipes Cookbook,Food & Drink,OmniDroid,Contains Ads,4.2,"8,783",43,"1,000,000",
EatStreet Food Delivery App,Food & Drink,EatStreet,,4.6,"7,677",25,"100,000",
Postmates Food Delivery: Order Eats & Alcohol,Food & Drink,Postmates Inc.,,3.6,"22,707",22,"1,000,000",
"Favor Delivery, Get Food Fast",Food & Drink,"NeighborFavor, Inc.",,4.1,"6,663",,"500,000",
Olive Garden Italian Kitchen,Food & Drink,"Darden Restaurants, Inc.",,4.1,687,28,"100,000",
Food Planner,Food & Drink,MiniMobile,Contains Ads·Offers in-app purchases,3.9,"10,607",8.8,"1,000,000",
All in one food ordering app - Order food online,Food & Drink,Online Shopping Apps,Contains Ads,4.4,570,4.6,"100,000",
SkipTheDishes - Food Delivery,Food & Drink,SkipTheDishes,,4.2,"9,506",,"1,000,000",
Food Express - We Deliver Food That You Love,Food & Drink,Real IT Solution LTD,,4.5,154,24,"5,000",
Culinary Camera - Food Effect,Food & Drink,Glow Studios,Contains Ads,3.7,54,11,"10,000",
Talabat: Food Delivery,Food & Drink,www.talabat.com,Contains Ads,4.5,"116,139",,"5,000,000",
GrabFood - Food Delivery App,Food & Drink,Grab Holdings,,2.5,"1,475",39,"100,000",
FAASOS - Order Food Online,Food & Drink,FFSPL,,4.1,"93,742",19,"1,000,000",
Zomato Order - Food Delivery App,Food & Drink,Zomato,,4.1,"65,484",15,"1,000,000",
BOX8 - Order Food Online | Food Delivery App,Food & Drink,PHPL,,4.2,"24,986",13,"500,000",
"delivery.com: Order Food, Alcohol & Laundry",Food & Drink,Delivery.com,,4.1,"1,920",,"100,000",
Steak ‘n Shake,Food & Drink,Steak 'n Shake Enterprises,,4.2,"5,660",12,"1,000,000",
Foodazon Food Order & Delivery,Food & Drink,Foodazon,,4.5,135,8.3,"5,000",
foodpanda: Food Order Delivery,Food & Drink,foodpanda India,,4.0,"87,546",7.3,"5,000,000",
Food Network,Food & Drink,Sreng Chanthuon,Contains Ads,3.6,60,5.7,"10,000",
honestbee: Grocery delivery & Food delivery,Food & Drink,honestbee,,4.1,"9,484",50,"1,000,000",
LIEFERHELD | Food Delivery,Food & Drink,Delivery Hero Germany GmbH,,4.3,"85,566",,"5,000,000",
foodora - Local Food Delivery,Food & Drink,Foodora GmbH,,3.9,"15,592",16,"1,000,000",
Foodout - Local Food Delivery,Food & Drink,Foodout,,4.3,"3,712",14,"100,000",
Chinese Food Recipes,Food & Drink,lak1sa,Contains Ads,4.4,142,4.7,"50,000",
"Times Food: Indian Recipes & Cooking, Celeb Chefs",Food & Drink,Times Internet Limited,,4.4,129,,"10,000",
Karma - Rescue unsold food,Food & Drink,Karmalicious AB,,4.0,434,18,"100,000",
Deliveroo: Restaurant Delivery,Food & Drink,Deliveroo,,4.3,"45,477",,"1,000,000",
Onlinepizza – your favorite food home delivered,Food & Drink,OnlinePizza Norden,,4.3,"12,756",18,"500,000",
SnapDish Food Camera & Recipes,Food & Drink,Vuzz Inc.,Contains Ads,3.9,"1,618",11,"100,000",
African Recipes : All Africa Food Offline Free,Food & Drink,Edutainment Ventures- Making Games People Play,Contains Ads·Offers in-app purchases,4.3,93,16,"50,000",
Sify Bawarchi - Indian food recipes,Food & Drink,Sify Technologies Limited,Contains Ads,4.3,246,14,"10,000",
FreshMenu - Food Ordering App,Food & Drink,Freshmenu,,4.3,"26,183",,"1,000,000",
Caviar - Food Delivery,Food & Drink,"Caviar, Inc.",,4.2,"3,741",8.5,"100,000",
Indian Food Recipes – Hindi Recipe Book,Food & Drink,Creative Utility Apps,Contains Ads,4.3,51,29,"1,000",
Cookbook Recipes,Food & Drink,Riafy Technologies,Contains Ads·Offers in-app purchases,4.1,"46,539",,"5,000,000",
Waitr—Food Delivery & Carryout,Food & Drink,Waitr Inc,,4.3,"4,499",44,"500,000",
Food & Beverage Dictionary,Food & Drink,Doan Van Dao,,4.5,22,45,"1,000",
TinMen Homely Food Ordering,Food & Drink,TinMen,,3.9,619,3.7,"50,000",
Mr D Food - delivery & takeaway,Food & Drink,Mr Delivery (Pty) Ltd Play Store,,4.6,"12,249",9.0,"500,000",
Bangaliana - Bengali Food Delivery App,Food & Drink,OhoShop,,4.0,89,,"5,000",
All Recipes Food,Food & Drink,TechniMan,Contains Ads,3.2,151,11,"10,000",
